Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Quantity Ordered
CA-2017-161389,05-Dec-17,10-Dec-17,Standard Class,IM-15070,OFF-BI-10003656,22
CA-2017-137330,09-Dec-17,13-Dec-17,Standard Class,KB-16585,OFF-AR-10000246,2
CA-2015-139892,08-Sep-15,12-Sep-15,Standard Class,BM-11140,OFF-AR-10004441,11
CA-2018-132976,13-Oct-18,17-Oct-18,Standard Class,AG-10495,OFF-PA-10000673,25
CA-2016-130883,26-Sep-16,02-Oct-16,Standard Class,TB-21520,OFF-PA-10000474,12
CA-2015-164973,04-Nov-15,09-Nov-15,Standard Class,NM-18445,FUR-CH-10002602,5
CA-2016-122756,03-Dec-16,07-Dec-16,Standard Class,DK-13225,TEC-MA-10001681,22
CA-2018-102946,30-Jun-18,05-Jul-18,Standard Class,VP-21730,OFF-BI-10004492,15
CA-2018-142636,03-Nov-18,07-Nov-18,Standard Class,KC-16675,OFF-PA-10000157,7
CA-2018-110478,04-Mar-18,09-Mar-18,Standard Class,SP-20860,OFF-AR-10001573,18
CA-2018-125388,19-Oct-18,23-Oct-18,Standard Class,MP-17965,FUR-FU-10004712,22
CA-2017-126158,25-Jul-17,31-Jul-17,Standard Class,SC-20095,OFF-BI-10002498,10
CA-2017-115917,20-May-17,25-May-17,Standard Class,RB-19465,FUR-FU-10000576,6
CA-2017-132661,23-Oct-17,29-Oct-17,Standard Class,SR-20740,OFF-PA-10000482,11
US-2018-106663,09-Jun-18,13-Jun-18,Standard Class,MO-17800,FUR-FU-10002759,18
CA-2016-135272,07-Dec-16,12-Dec-16,Standard Class,MS-17830,FUR-FU-10002759,17
CA-2015-106803,29-Dec-15,02-Jan-16,Standard Class,DC-13285,OFF-ST-10002444,10
CA-2018-126046,03-Nov-18,07-Nov-18,Standard Class,JC-16105,OFF-LA-10004484,7
CA-2016-154921,23-May-16,28-May-16,Standard Class,EA-14035,OFF-EN-10000056,8
CA-2015-134313,01-Nov-15,07-Nov-15,Standard Class,RA-19915,OFF-AR-10001897,21
US-2018-156083,04-Nov-18,11-Nov-18,Standard Class,JL-15175,OFF-PA-10001560,7
CA-2015-125612,03-Aug-15,08-Aug-15,Standard Class,BK-11260,OFF-PA-10001019,15
CA-2015-136742,06-Apr-15,10-Apr-15,Standard Class,GP-14740,OFF-BI-10003719,6
CA-2018-136539,28-Dec-18,01-Jan-19,Standard Class,GH-14665,OFF-AR-10001958,7
US-2018-106705,26-Dec-18,01-Jan-19,Standard Class,PO-18850,OFF-PA-10001509,14
US-2016-125374,23-Mar-16,29-Mar-16,Standard Class,JD-16060,FUR-CH-10003396,16
CA-2017-152814,28-Apr-17,02-May-17,Standard Class,EH-14005,OFF-PA-10001970,15
US-2015-147627,20-Jan-15,26-Jan-15,Standard Class,HL-15040,TEC-PH-10001061,8
CA-2015-127964,03-Mar-15,08-Mar-15,Standard Class,AP-10720,TEC-PH-10004700,14
CA-2015-128146,21-Jun-15,25-Jun-15,Standard Class,DB-13060,TEC-PH-10004539,18
CA-2017-114727,18-Jul-17,24-Jul-17,Standard Class,LS-16945,FUR-CH-10002335,9
CA-2017-148698,02-May-17,07-May-17,Standard Class,BD-11770,OFF-AR-10004022,20
CA-2018-121804,03-Mar-18,08-Mar-18,Standard Class,LP-17095,OFF-AP-10004859,11
CA-2018-106852,20-Jun-18,27-Jun-18,Standard Class,ST-20530,OFF-PA-10001639,21
CA-2016-111297,17-Aug-16,21-Aug-16,Standard Class,SC-20440,OFF-BI-10002412,11
CA-2017-100468,24-Nov-17,01-Dec-17,Standard Class,AT-10435,TEC-PH-10001300,24
CA-2017-122392,22-Jul-17,27-Jul-17,Standard Class,CJ-12010,OFF-AR-10002221,6
CA-2018-162691,01-Aug-18,07-Aug-18,Standard Class,AS-10045,TEC-MA-10000488,24
CA-2015-147914,04-Jun-15,09-Jun-15,Standard Class,MP-17470,OFF-PA-10001685,13
US-2017-112977,10-Mar-17,16-Mar-17,Standard Class,CJ-12010,FUR-BO-10003272,3
CA-2018-133648,25-Jun-18,02-Jul-18,Standard Class,ML-17755,OFF-LA-10003923,11
